name,type_of_food,address,city,outcode,postcode,URL,rating
Big Mike's Calypso Kitchen,Caribbean,1 Wisen Road,Surrey,CR8,2NQ,http://www.just-eat.co.uk/restaurants-big-mikes-calypso-kitchen/menu,5
Biggapot Caribbean,Caribbean,15 College Road,Birmingham,B20,2HY,http://www.just-eat.co.uk/restaurants-biggapotcaribbean-b20/menu,5
Bikkle Island,Caribbean,402 Stapleton Road,Bristol,BS5,6NQ,http://www.just-eat.co.uk/restaurants-bikkleisland-bs5/menu,3
Bikkle Island,Caribbean,402 Stapleton Road,Bristol,BS5,6NQ,http://www.just-eat.co.uk/restaurants-bikkleisland-bs5/menu,3
Bishops Caribbean,Caribbean,1 Rustlings Road,Sheffield,S11,7AB,http://www.just-eat.co.uk/restaurants-fbishopscaribbean-s11/menu,5
Blaka Jacks,Caribbean,406 Coldharbour Lane,London,SW9,8LF,http://www.just-eat.co.uk/restaurants-blakajacks-sw9/menu,0
Blaka Jacks,Caribbean,406 Coldharbour Lane,London,SW9,8LF,http://www.just-eat.co.uk/restaurants-blakajacks-sw9/menu,0
Blessed West Indian Takeaway,Caribbean,203 Coldharbour Lane,London,SW9,8RZ,http://www.just-eat.co.uk/restaurants-blessedwestindian-sw9/menu,4
Blessed West Indian Takeaway,Caribbean,203 Coldharbour Lane,London,SW9,8RZ,http://www.just-eat.co.uk/restaurants-blessedwestindian-sw9/menu,4
Blessed West Indian Takeaway,Caribbean,203 Coldharbour Lane,London,SW9,8RZ,http://www.just-eat.co.uk/restaurants-blessedwestindian-sw9/menu,4
Blessed West Indian Takeaway,Caribbean,203 Coldharbour Lane,London,SW9,8RZ,http://www.just-eat.co.uk/restaurants-blessedwestindian-sw9/menu,4
Blessed West Indian Takeaway,Caribbean,203 Coldharbour Lane,London,SW9,8RZ,http://www.just-eat.co.uk/restaurants-blessedwestindian-sw9/menu,4
Blessed West Indian Takeaway,Caribbean,203 Coldharbour Lane,London,SW9,8RZ,http://www.just-eat.co.uk/restaurants-blessedwestindian-sw9/menu,4
Blessings Caribbean Cuisine,Caribbean,177 Streatham High Road,London,SW16,6EG,http://www.just-eat.co.uk/restaurants-blessingscaribbean-sw16/menu,3
Blessings Caribbean Cuisine,Caribbean,177 Streatham High Road,London,SW16,6EG,http://www.just-eat.co.uk/restaurants-blessingscaribbean-sw16/menu,3
Blessings Caribbean Cuisine,Caribbean,177 Streatham High Road,London,SW16,6EG,http://www.just-eat.co.uk/restaurants-blessingscaribbean-sw16/menu,3
700 Degrees,Chicken,192-196 Fleet Road,Hampshire,GU51,4BY,http://www.just-eat.co.uk/restaurants-700degrees-gu51/menu,4
Aashir's,Chicken,98 Welford Road,Leicester,LE2,7AB,http://www.just-eat.co.uk/restaurants-aashirs-le2/menu,4
Aashir's,Chicken,98 Welford Road,Leicester,LE2,7AB,http://www.just-eat.co.uk/restaurants-aashirs-le2/menu,4
Abs Fried Chicken & Pizza,Chicken,322 Ashley Road,Dorset,BH14,9BZ,http://www.just-eat.co.uk/restaurants-absfriedchicken-bh14/menu,3
AFC,Chicken,1241 Bourges Boulevard,Cambridgeshire,PE1,2AU,http://www.just-eat.co.uk/restaurants-afc-pe1/menu,4
AFC American Fried Chicken,Chicken,398A Dewsbury Road,Leeds,LS11,7JX,http://www.just-eat.co.uk/restaurants-afc-american-fried-chicken-beeston/menu,3
AFC American Fried Chicken,Chicken,398A Dewsbury Road,Leeds,LS11,7JX,http://www.just-eat.co.uk/restaurants-afc-american-fried-chicken-beeston/menu,3
AFC Fried Chicken & Pizza,Chicken,10 Peckham Park Road,London,SE15,6TW,http://www.just-eat.co.uk/restaurants-afc-se15/menu,5
AFC Fried Chicken & Pizza,Chicken,10 Peckham Park Road,London,SE15,6TW,http://www.just-eat.co.uk/restaurants-afc-se15/menu,5
AFC-American Fried Chicken,Chicken,32 High Street,Mexborough,S64,9AS,http://www.just-eat.co.uk/restaurants-afc-s64/menu,5
Ahmed's Perfect Fried Chicken,Chicken,61 Vicarage Lane,London,E15,4HG,http://www.just-eat.co.uk/restaurants-ahmedsperfectfriendchicken-e15/menu,4
AK Chicken Food,Chicken,190 Norwood Road,London,SE27,9AU,http://www.just-eat.co.uk/restaurants-akchickenfood-se27/menu,5
AK Chicken Food,Chicken,190 Norwood Road,London,SE27,9AU,http://www.just-eat.co.uk/restaurants-akchickenfood-se27/menu,5
AK Chicken Food,Chicken,190 Norwood Road,London,SE27,9AU,http://www.just-eat.co.uk/restaurants-akchickenfood-se27/menu,5
Al Dixi Fried Chicken & Grill House,Chicken,343 Soho Road,Birmingham,B21,9SE,http://www.just-eat.co.uk/restaurants-aldixifriedchicken-b21/menu,1
Al Dixi Fried Chicken & Grill House,Chicken,343 Soho Road,Birmingham,B21,9SE,http://www.just-eat.co.uk/restaurants-aldixifriedchicken-b21/menu,1
AL-IKHWAN PFC Grill & Restaurant,Chicken,239 Mile End Road,London,E1,4AA,http://www.just-eat.co.uk/restaurants-alikhwanpfc-e1/menu,3
Ali's Meze Bar Charcoal Grill,Chicken,120 Norfolk Street,KingsLynn,PE30,1AP,http://www.just-eat.co.uk/restaurants-alismezebar-pe30/menu,3
Allens Fried Chicken,Chicken,55-57 Walmersley Road,Bury,BL9,5AE,http://www.just-eat.co.uk/restaurants-allensfriedchicken-bl9/menu,4
